Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Nothing,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
01/01/2018,6,-0.9,3,-2.6,,0.88,0,0,14.6,184.25,50.4,7.7,59.3,90.9,Rain, Partially cloudy
01/02/2018,4.8,-4.1,0.9,-6.4,,0,0,0,19.5,170.38,28.8,6.5,56.9,89.4,,Partially cloudy
01/03/2018,5.1,-2.8,2.4,-4.2,,2.05,0,0,30.8,181.79,68.4,13.7,71.3,82.69,Rain, Partially cloudy
01/04/2018,7.1,0.9,4.4,-1.2,,1.58,0,0,26.9,220.42,61.4,19.1,67.5,77.15,Rain, Partially cloudy
01/05/2018,8.8,0.8,4.6,-2.3,,0.41,0,0,25.3,177.38,75.6,16.4,76.1,80.85,Rain, Overcast
01/06/2018,9.1,3.9,6.2,2.2,,1.18,0,0,7.7,126.67,50.4,4.6,87.8,92.41,Rain, Overcast
01/07/2018,7,0.9,4.7,-4.6,,0.55,0,0,24.2,49.79,39.6,6.9,92.8,91.22,Rain, Overcast
01/08/2018,0.8,-1.1,0.2,-6.6,,3.9,0,0,24.2,51.71,43.2,9.6,94,90.78,Rain, Overcast
01/09/2018,1.9,-3.1,-0.4,-10.2,,0,0,0,32.1,49.25,39.6,11.3,82.8,83.31,,Overcast
01/10/2018,5.1,1.3,2.7,-3.2,,0.5,0,0,17.9,80.08,23.6,9.4,80.8,85.62,Rain, Overcast
01/11/2018,2,0.1,0.8,-4,,1.53,0,0,13.5,46.17,14,3.4,95.7,94.52,Rain, Overcast
01/12/2018,1,-0.9,0.3,-7.6,,0.72,0,0,30,52.96,45.5,5.5,95.6,92.41,Rain, Overcast
01/13/2018,-0.8,-3.1,-1.3,-10,,0.2,0,0,30.8,58.75,52.3,15.8,79.4,78.5,Rain, Overcast
01/14/2018,-1.2,-7,-4.3,-13,,0,0,0,26.6,52.29,52.2,19.2,11.4,76.44,,Clear
01/15/2018,-3,-8,-6.3,-14.5,,0,0,0,16.2,45.17,17.3,10.6,16.9,80.78,,Clear
01/16/2018,1.8,-9.2,-3.1,-14.3,,2.89,0,0,21.3,93.96,41.7,8.5,60,83.28,Rain, Partially cloudy
01/17/2018,3.8,0,1.3,-5.5,,2.39,0,0,35,233.88,55.9,16.8,77.5,79.26,Rain, Overcast
